id,Class title,Class description,gImage,Image,Type,Intensity,Online available,Physical available,Benefits,Demo video,Equipments,Tag,Updated,Created
SFF0001,"Abs, Butt, Thighs (ABT)","ABT circuit workout routine is the perfect workout for a quick lower
body burn. This workout routine can be easily done with or without
equipment. As the name says, we are working on toning your core,
butt and thigh muscles. Are you ready for the burn?",https://drive.google.com/file/d/1T5kBRNkomb0XpUnAxormOooc_PENgCxJ/view?usp=sharing,/s/Abs-Butt-Thighs-ABT_x800.jpg,Group Exercise Classes,Mid,Yes,Yes,Muscular Endurance,https://youtu.be/IjEBfs35HSc,Yoga Mat,Classic, 31 May 2022, 03 Apr 2022
SFF0002,Aerobics,"Aerobics is a form of rhythmic dance exercise. Instructors will teach one step or movement at a time and start building up from there into a whole choreography. Movements are very easy to follow, repetitive and fun!",https://drive.google.com/file/d/1Plm2Fk2JRHIJsFKObOCbl5fRfmLBuAr0/view?usp=sharing,/s/Aerobics_x800.jpg,Group Exercise Classes,Mid,Yes,Yes,Cardiovascular,https://www.youtube.com/watch?v=a44ayeoSfKM,Not Required,Classic, 31 May 2022, 03 Apr 2022
SFF0003,Aqua Aerobics,"A low-impact aerobic exercise conducted in a swimming pool (not covering the head), uses water as a form of resistance or assistance. It reduces joint pressure, increases flexibility, and builds endurance. No swimming experience required",https://drive.google.com/file/d/1IwgWSrwFiiCwN5EppQUPiA2yt3Rf7FUv/view?usp=sharing,/s/Aqua-Aerobics_x800-8755.jpg,Group Exercise Classes,Mid,No,Yes,Cardiovascular,https://www.youtube.com/watch?v=uQU_MIVvVWQ,Conducted in swimming pool,Classic, 31 May 2022, 08 Apr 2022
SFF0004,Barre ,"Barre is a combination of yoga, pilates, strength training, and ballet techniques that works out the entire body. It focuses on isometric holds and combines dynamic movements to tone and sculpt the body. Suitable for all fitness levels, participants can embrace their inner ballerina and get a full-body workout at the same time. Individuals will attain better body awareness, and improve physical strength, flexibility and posture.",https://drive.google.com/file/d/1SQpdG0kcQWWovIk3T2i5tW3_KxzW4MQF/view?usp=sharing,/s/Barre_x800.jpg,Group Exercise Classes,Mid,Yes,Yes,Muscular Endurance,https://youtu.be/1gAiGNKain4,Not Required,Classic, 31 May 2022, 08 Apr 2022
SFF0005,BodyART,"An artistic and creative way of working with the body, merging strength, flexibility, and breathing techniques to strengthen and stretch muscles, relieve tension, improve posture, and better understand our bodies. It is inspired by yoga, pilates, functional training, and tai chi techniques.",https://drive.google.com/file/d/1y6k9kRgLA1QKfm0dnbh8oAQHWGvC50N8/view?usp=sharing,/s/BodyART_x800.jpg,Group Exercise Classes,Mid,Yes,Yes,Mobility,https://youtu.be/9Ly9hhwjevY,Yoga Mat,Classic, 31 May 2022, 08 Apr 2022
SFF0006,Bolly Dazz,"A combination of Bollywood dancing with high-intensity cardio workout, involving the whole body, shaking to the Bollywood music as though you are in the movies!",https://drive.google.com/file/d/15D-bgM-HoSdSFfBnLOTDLaaKeoSwK7Ss/view?usp=sharing,/s/Bolly-Dazz_x800.jpg,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/KUmKKPcf71Q,Not Required,Classic, 31 May 2022, 08 Apr 2022
SFF0007,Bootcamp / HIIT,"Designed to build strength and fitness through a variety of high-intensity intervals and circuit training, Bootcamp/HIIT uses bodyweight exercises that can be regressed or progressed. As such, this makes it suitable for participants of all fitness levels to tone up their muscles and improve cardiovascular endurance.",https://drive.google.com/file/d/1J1WSgJTZJz_UF71unrl_HbdJjsMkBJQk/view?usp=sharing,/s/BOOTCAMP-HIIT.JPG,Group Exercise Classes,High,Yes,Yes,Muscular Endurance,https://drive.google.com/file/d/135ganxLqjvGYj067dTPQpMtYr-pmOD6r/view?usp=sharing,Not Required,Recommended, 31 May 2022, 08 Apr 2022
SFF0008,Calisthenics,"A form of exercise consisting of a variety of movements that involve large muscle groups such as pull-ups, jumping, grasping, pushing, etc. It is often performed rhythmically with minimal equipment to increase strength and flexibility. Be amazed at what your body can do!",https://drive.google.com/file/d/1aIMAW1u44K652Zeu_5rGvozZTFij1mUC/view?usp=sharing,/s/CHALISTENICS_x800.jpg,Group Exercise Classes,High,Yes,Yes,Muscular Strength,https://youtu.be/lc4-rZAXZ2U,Not Required,Classic, 31 May 2022, 08 Apr 2022
SFF0009,"Cardio
Kickboxing","A combination of martial arts techniques with a fast-paced cardio workout, Cardio Kickboxing helps build stamina and improves coordination.",https://drive.google.com/file/d/1LdZ2dVobpy2PmKfd3IL9Md7QurQDXrY3/view?usp=sharing,/s/Cardio-Kickboxing_x800.jpg,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/6oLg5fFe5ww,Not Required,Recommended, 31 May 2022, 08 Apr 2022
SFF0010,Desk Stretch ,"In this class, you will be guided on doing simple & easy stretches that can be done at the desk whether you are in office wear, sportswear, or comfortable home clothes. This is one of our popular classes to have in the middle of the workday to reset your posture, release muscle tightness & feel more productive for the rest of the day.",https://drive.google.com/file/d/170QDvWOkVX_piupWa7LR88RBkqD_vhWV/view?usp=sharing,/s/Desk-Stretch_x800.jpg,Group Exercise Classes,Low,Yes,Yes,Flexibility,https://drive.google.com/file/d/1JBA2pJ_VgvexVqTqwivMRFxOFWaj03wM/view?usp=sharing,Chair,Recommended, 31 May 2022, 08 Apr 2022
