id,Class title,Class description,Image,Type,Intensity,Online available,Physical available,Benefits,Demo video,Equipments,Tag,Updated,Created
SFF0001,"Abs, Butt, Thighs (ABT)","ABT circuit workout routine is the perfect workout for a quick lower
body burn. This workout routine can be easily done with or without
equipment. As the name says, we are working on toning your core,
butt and thigh muscles. Are you ready for the burn?",https://drive.google.com/file/d/1JwX88CKRXdtfcdlDc7LvU6B9OIA2H05-/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Muscular Endurance,https://youtu.be/IjEBfs35HSc,Yoga Mat,Classic, 03 Apr 2022,03 Apr 2022
SFF0002,Aerobics,"Aerobics is a form of rhythmic dance exercise. Instructors will teach one step or movement at a time and start building up from there into a whole choreography. Movements are very easy to follow, repetitive and fun!",https://drive.google.com/file/d/1UTUisrC-4g9fdg6PI9Vvdg-dqePfMdZa/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Cardiovascular,https://www.youtube.com/watch?v=a44ayeoSfKM,Not required,Recomendation, 03 Apr 2022,03 Apr 2022
SFF0003,Aqua Aerobics,"A low-impact aerobic exercise conducted in a swimming pool (not covering the head), uses water as a form of resistance or assistance. It reduces joint pressure, increases flexibility, and builds endurance. No swimming experience required",,Group Exercise Classes,Mid,No,Yes,Cardiovascular,https://www.youtube.com/watch?v=uQU_MIVvVWQ,Conducted in swimming pool,Classic, 13 Aug 2022,08 Apr 2022
SFF0004,Barre,"Barre is a combination of yoga, pilates, strength training, and ballet techniques that works out the entire body. It focuses on isometric holds and combines dynamic movements to tone and sculpt the body. Suitable for all fitness levels, participants can embrace their inner ballerina and get a full-body workout at the same time. Individuals will attain better body awareness, and improve physical strength, flexibility and posture.",https://drive.google.com/file/d/1lgNZzw7N6CsPFxF5BJfFISVXlWXaoC9o/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Muscular Endurance,https://youtu.be/1gAiGNKain4,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0005,BodyART,"An artistic and creative way of working with the body, merging strength, flexibility, and breathing techniques to strengthen and stretch muscles, relieve tension, improve posture, and better understand our bodies. It is inspired by yoga, pilates, functional training, and tai chi techniques.",https://drive.google.com/file/d/14nq-DP8SxyptDk3WSRIlP0fx9_e9dnj-/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Mobility,https://youtu.be/9Ly9hhwjevY,Yoga Mat,Classic, 13 Aug 2022,08 Apr 2022
SFF0006,Bolly Dazz,"A combination of Bollywood dancing with high-intensity cardio workout, involving the whole body, shaking to the Bollywood music as though you are in the movies!",https://drive.google.com/file/d/1fjsdYI3JDF21RbcELaViTYeiKBINyt0x/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/KUmKKPcf71Q,Not required,Recomendation, 13 Aug 2022,08 Apr 2022
SFF0007,Bootcamp / HIIT,"Designed to build strength and fitness through a variety of high-intensity intervals and circuit training, Bootcamp/HIIT uses bodyweight exercises that can be regressed or progressed. As such, this makes it suitable for participants of all fitness levels to tone up their muscles and improve cardiovascular endurance.",https://drive.google.com/file/d/1aTjL-Uyh_qzLEbqdUe2eHV7M-qqquytK/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Muscular Endurance,https://drive.google.com/file/d/135ganxLqjvGYj067dTPQpMtYr-pmOD6r/view?usp=sharing,Not required,Recomendation, 13 Aug 2022,08 Apr 2022
SFF0008,Calisthenics,"A form of exercise consisting of a variety of movements that involve large muscle groups such as pull-ups, jumping, grasping, pushing, etc. It is often performed rhythmically with minimal equipment to increase strength and flexibility. Be amazed at what your body can do!",https://drive.google.com/file/d/1-1nDFvwIjrEHdMZvCiSWc1axCyrv81Yv/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Muscular Strength,https://youtu.be/lc4-rZAXZ2U,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0009,"Cardio
Kickboxing","A combination of martial arts techniques with a fast-paced cardio workout, Cardio Kickboxing helps build stamina and improves coordination.",https://drive.google.com/file/d/1f3-wQIKTLReMCIF9p4hZ7aC6SvpTbrPa/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/6oLg5fFe5ww,Not required,Recomendation, 13 Aug 2022,08 Apr 2022
SFF0010,Desk Stretch,"In this class, you will be guided on doing simple & easy stretches that can be done at the desk whether you are in office wear, sportswear, or comfortable home clothes. This is one of our popular classes to have in the middle of the workday to reset your posture, release muscle tightness & feel more productive for the rest of the day.",https://drive.google.com/file/d/1PfxYRQ32QlYNT8NkpbrKNaMUnCYZ18Vx/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Flexibility,https://drive.google.com/file/d/1JBA2pJ_VgvexVqTqwivMRFxOFWaj03wM/view?usp=sharing,Chair,Recomendation, 08 Apr 2022,08 Apr 2022
SFF0011,Hip Hop,"Emerged from the music of Hip-Hop culture together with the evolution from the influences of pop culture, Hip Hop emphasizes groove, strength, and precision.",https://drive.google.com/file/d/1jbj2guOfz40jMf03TVa_eb9YPNpPGq2T/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Body Awareness,https://youtu.be/ZWk19OVon2k,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0012,K-Kardio,Dance along with to Kpop music while burning calories at the same time through a cardio-based workout that is suitable for people of all ages and dance experiences. Includes some essence of music video moves.,https://drive.google.com/file/d/1LRzAQKPlOO4FHufAOhLi2ccYz-RRlnsl/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://www.youtube.com/watch?v=-UGoA41dmKs,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0013,Kpop Dance,Freestyle dance inspired by Kpop music. Learn popular choreography from Kpop music videos from both girl bands and boy bands.,https://drive.google.com/file/d/1GCLrUABwPHkxXGRBAO720iBHnqQ4a2bw/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Body Awareness,https://youtu.be/js9InLDV2X8,Not required,Recomendation, 13 Aug 2022,08 Apr 2022
SFF0014,KpopX Fitness,"Inspired by catchy Kpop music videos, KpopX Fitness uses simplified Kpop dance moves together with aerobic and body toning exercises. Steps are easy to follow, making them suitable for anyone regardless of dance background.",https://drive.google.com/file/d/1DCfSoiKXt0Z-iC7Ic4PopX28wNpvTBjh/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://www.youtube.com/watch?v=iSF9MlhGtSU,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0015,Masala Bhangra,"Influenced by high-energy Bhangra and Bollywood Dance movements, it is an easy-to-follow fitness format which caters to people of all ages and fitness levels who wish to stay active with unique music and beats.",,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://www.youtube.com/watch?v=N16c6Qe0Aho,Not required,Recomendation, 13 Aug 2022,08 Apr 2022
SFF0016,Nirvana,"With a blend of pilates, yoga exercises, and rhythmic breathing, exercise along with a relaxing and mindful flow of uplifting music beats, while focussing on the flow of the body & mind.",https://drive.google.com/file/d/1vQKSIzB60r6WgBVuSs3irK-4h6jr17jP/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Mobility,https://drive.google.com/file/d/1NwHFoY3EMyEFsy949-esA4siVXp2gBQ3/view?usp=sharing,Yoga Mat,Classic, 08 Apr 2022,08 Apr 2022
SFF0017,Pilates Matwork,"Pilates mat work will guide the class through mobilizing the spine, improving core strength, and most importantly, increasing awareness of daily posture. It is gentle and friendly for people with knee or back pain as well.",https://drive.google.com/file/d/10ehWKuFCV2CDSg7wBgUHHkUJ8maqxWwa/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Mobility,https://drive.google.com/file/d/1E4Xyy3AhuYLJ4LnHdb27PUl6CkUg8uzy/view?usp=sharing,Yoga Mat,Classic, 08 Apr 2022,08 Apr 2022
SFF0018,Piloxing,"A non-stop cardio fusion of standing Pilates, boxing, and dance to strengthen the core, sculpt the body and elongate the muscles. Move along to the music and beats to execute the techniques of boxing to get the heart pumping too.",https://drive.google.com/file/d/12e0R9npyq2NSLs3j4eyxe-n4SYLbgzAJ/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://drive.google.com/file/d/1H2As9GAg1mQjUV1itKAVJuzn3PTgC3R_/view?usp=sharing,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0019,Piloxing Knockout,"Influenced by plyometrics, sports conditioning drills, and functional training, Piloxing Knockout increases fitness levels and builds endurance.",,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/tvLI0tfc0OU,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0020,Piloxing The MIX,"Inspired by commercial dance from Los Angeles, it is suitable for people of all fitness levels, ages, and backgrounds. Dance along to music hits and iconic throwbacks while learning the most current grooves from LA’s dance scene",,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/x35r8EFE80Y,Not required,Classic, 13 Aug 2022,08 Apr 2022
